name,code,type,cohort,subject,year,value
Kansas,KS,state,2,mathematics,2019,282.211700315563
Kansas,KS,state,2,mathematics,2022,271.962245177771
Kansas,KS,state,1,reading,2019,219.133566574447
Kansas,KS,state,1,reading,2022,214.682441301693
Kansas,KS,state,2,reading,2019,262.819050847892
Kansas,KS,state,2,reading,2022,256.182078264314
Kentucky,KY,state,1,mathematics,2019,239.310713003117
Kentucky,KY,state,1,mathematics,2022,233.803481017921
Kentucky,KY,state,2,mathematics,2019,278.100386552262
Kentucky,KY,state,2,mathematics,2022,269.412552664086
Kentucky,KY,state,1,reading,2019,220.929888641558
Kentucky,KY,state,1,reading,2022,216.597654865333
Kentucky,KY,state,2,reading,2019,262.9635373774
Kentucky,KY,state,2,reading,2022,258.49198679453
Louisiana,LA,state,1,mathematics,2019,231.29741319736
Louisiana,LA,state,1,mathematics,2022,228.570107111528
Louisiana,LA,state,2,mathematics,2019,271.644680137411
Louisiana,LA,state,2,mathematics,2022,265.597428091717
Louisiana,LA,state,1,reading,2019,209.873121958397
Louisiana,LA,state,1,reading,2022,212.335700553312
Louisiana,LA,state,2,reading,2019,257.421808574891
Louisiana,LA,state,2,reading,2022,256.645731498475
Maine,ME,state,1,mathematics,2019,240.757590343136
Maine,ME,state,1,mathematics,2022,233.073315407841
Maine,ME,state,2,mathematics,2019,282.36862288029
Maine,ME,state,2,mathematics,2022,272.539339217101
Maine,ME,state,1,reading,2019,221.236527103754
Maine,ME,state,1,reading,2022,212.813075931121
Maine,ME,state,2,reading,2019,265.168656113462
Maine,ME,state,2,reading,2022,256.711628244573
Maryland,MD,state,1,mathematics,2019,238.562488491722
Maryland,MD,state,1,mathematics,2022,228.586724100303
Maryland,MD,state,2,mathematics,2019,280.14582776331
Maryland,MD,state,2,mathematics,2022,268.704351919459
Maryland,MD,state,1,reading,2019,219.838944928094
Maryland,MD,state,1,reading,2022,212.480141744086
Maryland,MD,state,2,reading,2019,264.389022442559
Maryland,MD,state,2,reading,2022,259.293557884938
Massachusetts,MA,state,1,mathematics,2019,247.319439954575
Massachusetts,MA,state,1,mathematics,2022,241.731762244644
Massachusetts,MA,state,2,mathematics,2019,294.474574539442
Massachusetts,MA,state,2,mathematics,2022,283.587656613142
Massachusetts,MA,state,1,reading,2019,231.091059288799
Massachusetts,MA,state,1,reading,2022,226.803604642226
Massachusetts,MA,state,2,reading,2019,273.113031464996
Massachusetts,MA,state,2,reading,2022,268.753284817946
Michigan,MI,state,1,mathematics,2019,236.15158485638
Michigan,MI,state,1,mathematics,2022,232.197403225126
Michigan,MI,state,2,mathematics,2019,280.282357130411
Michigan,MI,state,2,mathematics,2022,272.550704280738
Michigan,MI,state,1,reading,2019,218.266956539571
Michigan,MI,state,1,reading,2022,211.841478223351
Michigan,MI,state,2,reading,2019,262.579893670719
Michigan,MI,state,2,reading,2022,258.514937797666
Minnesota,MN,state,1,mathematics,2019,248.409532777318
Minnesota,MN,state,1,mathematics,2022,239.007740578057
Minnesota,MN,state,2,mathematics,2019,290.785141202164
Minnesota,MN,state,2,mathematics,2022,280.066020971965
Minnesota,MN,state,1,reading,2019,222.393248950052
Minnesota,MN,state,1,reading,2022,215.468384880638
Minnesota,MN,state,2,reading,2019,263.813360590386
Minnesota,MN,state,2,reading,2022,260.469458119705
Mississippi,MS,state,1,mathematics,2019,240.706890333851
Mississippi,MS,state,1,mathematics,2022,233.55895949206
Mississippi,MS,state,2,mathematics,2019,273.728901931209
Mississippi,MS,state,2,mathematics,2022,265.566589217948
Mississippi,MS,state,1,reading,2019,219.342215016725
Mississippi,MS,state,1,reading,2022,217.160500079958
